Model,Avg_B,Avg_Poisoning_Rate,Avg_ASR,Avg_TDR
gpt-4o,100.0,0.5025125628140703,0.9815699999999999,0.95
gpt-4o-mini,100.0,0.5025125628140703,0.9837899999999999,0.95
gpt-5-mini,100.0,0.5025125628140703,0.98184,0.95
